rubr0;rubr1;rubr_1_qty;rubr_1_import_share;rubr_0_qty;rubr_0_import_share
ph-метры;ph-метры;6102;0.3;7139;0.26
ph-метры;метры деревянные брусковые;1037;0.02;7139;0.26
акселерометры;акселерометры;3483;0.81;7415;0.73
акселерометры;шумомеры;3932;0.66;7415;0.73
амперметры;амперметры;12465;0.52;112219;0.18
амперметры;амперметры и вольтметры;21359;0.02;112219;0.18
амперметры;амперметры переносные;4869;0.3;112219;0.18
амперметры;амперметры щитовые;968;0.45;112219;0.18
амперметры;амперметры, вольтметры;11853;0.61;112219;0.18
амперметры;микpоампеpметpы, милливольтметpы, миллиампеpметpы, ампеpметpы;3594;1.0;112219;0.18
амперметры;микроамперметры;44433;0.0;112219;0.18
амперметры;микроамперметры и миллиамперметры;2467;0.01;112219;0.18
амперметры;миллиамперметры;1998;0.05;112219;0.18
амперметры;миллиамперметры, амперметры и вольтметры;8213;0.0;112219;0.18
анализаторы;анализаторы;23008;0.76;78125;0.43
анализаторы;анализаторы биохимические;839;0.86;78125;0.43
анализаторы;анализаторы вибрации;241;0.14;78125;0.43
анализаторы;анализаторы влажности;967;0.61;78125;0.43
анализаторы;анализаторы вольтамперометрические;1705;0.22;78125;0.43
анализаторы;анализаторы гематологические;2199;0.99;78125;0.43
анализаторы;анализаторы дымовых газов;1568;0.83;78125;0.43
анализаторы;анализаторы жидкости;6420;0.46;78125;0.43
анализаторы;анализаторы инфракрасные;3185;0.45;78125;0.43
анализаторы;анализаторы кабельные;331;0.45;78125;0.43
анализаторы;анализаторы качества электрической энергии;950;0.25;78125;0.43
анализаторы;анализаторы кислорода;494;0.59;78125;0.43
анализаторы;анализаторы молока;980;0.19;78125;0.43
анализаторы;анализаторы мочи;1431;0.87;78125;0.43
анализаторы;анализаторы пыли;288;0.64;78125;0.43
анализаторы;анализаторы размеров частиц лазерные;72;0.71;78125;0.43
анализаторы;анализаторы растворенного кислорода;806;0.02;78125;0.43
анализаторы;анализаторы рентгенофлуоресцентные;575;0.74;78125;0.43
анализаторы;анализаторы сигналов;3059;0.5;78125;0.43
анализаторы;анализаторы спектра;1675;0.77;78125;0.43
анализаторы;анализаторы углерода и серы;292;0.76;78125;0.43
анализаторы;анализаторы цепей векторные;394;0.62;78125;0.43
анализаторы;экспресс-анализаторы (глюкометры) портативные;26646;0.03;78125;0.43
анемометры;анемометры сигнальные цифровые;2965;0.07;216823;0.02
