"filename";"color";"type";"value"
"2005-30815-05.pdf";"255,255,0";"0";"Трансформатор напряжения эталонный мобильный NUES 750 тоЬ"
"2005-30815-05.pdf";"0,255,0";"1";"кв"
"2008-27361-04.pdf";"255,240,102";"0";"холодной Счетчики и скоростные горячей воды крыльчатые холодной СквiСквг9оi и горячей скв-гкi воды СквiСквг9оi Сквг9о-гкiСквг скв-гкi i sо-гк Сквг9о-гкiСквг i sо-гк sо-гк"
"2008-27361-04.pdf";"124,240,102";"1";"мм"
"2008-27361-04.pdf";"124,240,102";"1";"10 ду мм 10 мм"
"2008-27361-04.pdf";"142,221,249";"2";"± 2"
"2008-27361-04.pdf";"142,221,249";"2";"Пределы относительной допускаемых погрешности значений в относительной интервалах измеряемого погрешности расхода, в интервалах от Qmin до измеряемого Qt	 расхода, °/о от от Qt Qmin (включительно) до Qt"
"2008-34048-08.pdf";"255,240,102";"0";"электрической Счетчики энергии активной трехфазные электрической СЕ энергии 301 трехфазные СЕ 301"
"2008-34048-08.pdf";"124,240,102";"1";"имп/кВт • ч 8"
"2008-34048-08.pdf";"124,240,102";"1";"Диапазон значений постоянной счетчика от 450 имп/кВт См."
"2008-34048-08.pdf";"142,221,249";"2";"± 2,0"
"2008-34048-08.pdf";"142,221,249";"2";"для грешности Пределы счетчиков допускаемой	 при класса измерении точности основной	 тока Б,, по- %, для счетчиков класса точности 0,58 1"
"2008-34048-08.pdf";"142,221,249";"2";"грешности Пределы"
"2008-34048-08.pdf";"142,221,249";"2";"для грешности"
"2008-34291-07.pdf";"255,240,102";"0";"Системы ввода-вывода Га 1'уе1 I/О распределенные Га 1'уе1 I/О"
"2008-34291-07.pdf";"142,221,249";"2";"0,2"
"2008-34291-07.pdf";"142,221,249";"2";"веденной сти пределы мой при основной температу допускае- погрешно- при- - ре	 (+20 t 5) °С, t%"
"2008-36028-07.pdf";"255,255,0";"0";"Счетчики активной энергии переменного тока статические однофазные «АРБИТР»"
"2008-36028-07.pdf";"0,255,0";"1";"имп/кВт ч"
"2008-39123-08.pdf";"255,240,102";"0";"Вольтметры универсальные"
"2008-39123-08.pdf";"255,240,102";"0";"В7-53"
"2008-39123-08.pdf";"124,240,102";"1";"В;"
"2008-39123-08.pdf";"142,221,249";"2";"±[0,04 + 0,01(Ш/Ш - 1)] %;"
"2008-39123-08.pdf";"142,221,249";"2";"относительной погрешности измерений: 1) при 4 Уг разряда индикации: а) на пределах 200 мВ; 2, 20, 200 В"
"2008-39123-08.pdf";"124,240,102";"1";"Измерение постоянного напряжения: - пределы измерений"
"2008-39123-08.pdf";"124,240,102";"1";"1000 В;"
"2008-39753-08.pdf";"255,240,102";"0";"Установка автоматизированная эталонная автоматизированная УЛР - 1 А"
"2008-39753-08.pdf";"142,221,249";"2";"3,0"
"2008-39753-08.pdf";"142,221,249";"2";"Предел тельной ров °/о, не единиц более допускаемой погрешности коэффициента основной передачи пульсаций относи- разме- , °/о, не более Спектральный"
"2008-39798-08.pdf";"255,240,102";"0";"Термометры электронные цифровые ТР-5С"
"2008-39798-08.pdf";"142,221,249";"2";"±0,2 0,1"
"2008-39798-08.pdf";"124,240,102";"1";"погрешности °С"
"2008-39798-08.pdf";"142,221,249";"2";"Пределы Дискретность, допускаемой °С	 абсолютной погрешности , °С"
"2008-39998-08.pdf";"255,240,102";"0";"Тонометры ТМ «36,6» мод. автоматические HL-168FD ТМ «36,6» мод. HL-168FD"
"2008-39998-08.pdf";"124,240,102";"1";"при мм измерении рт.ст."
"2008-39998-08.pdf";"142,221,249";"2";"± 3"
"2008-39998-08.pdf";"124,240,102";"1";"при мм"
"2008-39998-08.pdf";"142,221,249";"2";"Пределы давления допускаемой воздуха в компрессионной абсолютной погрешности манжете, мм при рт. ст. измерении 	 Диапазон давления воздуха измерений в компрессионной частоты пульса, манжете, 1 /мин 	 мм рт. ст."
"2008-39998-08.pdf";"124,240,102";"1";"Диапазон Пределы"
"2008-40005-08.pdf";"255,255,0";"0";"Приемники временной синхронизации NAVIOR-24S"
"2008-40005-08.pdf";"0,174,237";"2";"Предел допускаемой средней квадратической погрешности формирования метки времени, времени, выдаваемой - ПТС($ЕТ)	 потребителям, по отношению к шкале времени, нс : - - ПТС($ЕТ)	 ИТС(US)	 50; 50. - ИТС(US)	 50."
"2008-40143-08.pdf";"255,240,102";"0";"Динамометры СИУ2 измерительные СИУ2"
"2008-40143-08.pdf";"124,240,102";"1";"кН"
"2008-40143-08.pdf";"124,240,102";"1";"измере- кН"
"2008-40143-08.pdf";"142,221,249";"2";"± 0,45"
"2008-40143-08.pdf";"142,221,249";"2";"± 0,06 , °/о"
"2008-40160-08.pdf";"255,240,102";"0";"Калибраторы МгсгоСа1 моделей температуры МгсгоСа1 серии Т10, МгсгоСа1 МiсгоСа1 моделей Т30, МгсгоСа1 МгсгоСа1 Т350 Т10, МiсгоСа1 Т30, МгсгоСа1 Т350"
"2008-40160-08.pdf";"124,240,102";"1";"°С Пределы"
"2008-40160-08.pdf";"124,240,102";"1";"°С воспроизведения температу- Пределы допускаемой погрешности"
"2008-40160-08.pdf";"142,221,249";"2";"Пределы воспроизведения допускаемой температуры, погрешности °С Дискретность воспроизведения показаний, температуры, °С °С"
"2008-40160-08.pdf";"142,221,249";"2";"0,5"
"2008-40223-08.pdf";"255,240,102";"0";"Фурье - спектрометры инфракрасные Varian (модели 640IR, 660IR, 670IR, 680IR, FT-IR Oi1 Analyzer)"
"2008-40223-08.pdf";"124,240,102";"1";"см- '"
"2008-40223-08.pdf";"142,221,249";"2";"+0,25"
"2008-40223-08.pdf";"124,240,102";"1";"Спектральный диапазон (основной),"
"2008-40223-08.pdf";"142,221,249";"2";"Пределы допускаемой абсог шкалы волновых чисел, см"" ютной погрешности шкалы волновых чисел, см"""
"2008-40241-08.pdf";"255,240,102";"0";"Система измерительная электроэнергии автоматизированная коммерческого (АИИС информационно- КУЭ) учета ОАО электроэнергии «КНАУФ ГИПС (АИИС Баск КУЭ) нчак» ОАО ОАО «КНАУФ ГИПС Баск нчак» Изготовлена 000 «ИТФ Консалтинг», нчак» Консалтинг»,"
"2008-40241-08.pdf";"142,221,249";"2";"энергии Предел в допускаемой рабочих условиях относительной эксплуатации погрешности АИИС КУЭ измерения ОАО «КНАУФ активной ГИПС электрической Баскунчак» энергии в рабочих условиях эксплуатации АИИС КУЭ ОАО «КНАУФ ГИПС Баскунчак»"
"2008-40241-08.pdf";"142,221,249";"2";"+3,0 +1,9"
"2009-19243-05.pdf";"255,240,102";"0";"нейшем Системы АПСТМ-ИС) телемеханики служат для и автоматики непрерывного для учета измерения и управления и контроля энергоресурсами технологических"
"2009-19243-05.pdf";"255,240,102";"0";"технологических (в"
"2009-19243-05.pdf";"255,240,102";"0";"(давления, АПСТМ-ИС) телемеханики температуры,"
"2009-19243-05.pdf";"142,221,249";"2";"да при давления, использовании Пределы температуры, допускаемой первичных тока, основной преобразователей напряжения, приведенной потенциала, класса погрешности точности расхода 0.15, измерения и др. + по 0.4 1.1 давления, при равны использова- + перепа- 0.25 °/о"
"2009-26765-04.pdf";"255,255,0";"0";"Генераторы нулевого воздуха ГНГ-01"
"2009-26765-04.pdf";"0,174,237";"2";"Пределы допускаемой абсолютной погрешности поддержания давления в течение 8 ч непрерывной работы t 25 кПа."
"2009-26765-04.pdf";"0,255,0";"1";"мг/м3"
"2009-27461-09.pdf";"255,255,0";"0";"Анализаторы гематологические КХ-21М"
"2009-27461-09.pdf";"138,207,86";"0";"Диапазон измерений содержания определяемого параметра: - ИВС, ИВС, RBC, х103 106 /мкл"
"2009-27461-09.pdf";"0,174,237";"2";"Предел допускаемой случайной составляющей относительной погрешности при измерении содержания определяемого параметра (СКО), - УВС %о *) 3,5 2,0"
"2009-27925-09.pdf";"255,240,102";"0";"Комплексы программно-технические измерительные «Апогей»"
"2009-27925-09.pdf";"142,221,249";"2";"(0,4"
"2009-27925-09.pdf";"142,221,249";"2";"приведенной основной погрешности, приведенной погрешности, от диапазо- °/о на от измерений диапазо-"
"2009-27925-09.pdf";"142,221,249";"2";"допускаемой основной"
"2009-27925-09.pdf";"142,221,249";"2";"допускаемой Пределы"
"2009-31721-09.pdf";"255,240,102";"0";"Счетчики активной электрической энергии однофазные СЕ 200 СЕ 200"
"2009-31721-09.pdf";"124,240,102";"1";"5) имп./кВт.ч Гц или (60"
"2009-31721-09.pdf";"124,240,102";"1";"Диапазон Рабочий диапазон значений изменения постоянной частоты счетчика изме-"
"2009-38558-09.pdf";"255,255,0";"0";"Станки балансировочные ВОХЕК модели $1200, $1500, $1550, $1800, $1850 $3300, $1250, $1550, $1850"
"2009-38558-09.pdf";"0,255,0";"1";"г:"
