cluster_name;import_share;qty;meassure;delta
для измерений силы и напряжения переменного тока.;1.0;9;А;1,5
для измерений температуры жидких и газообразных сред,;1.0;8;°С;±2
для статического измерения массы веществ, материалов, продуктов;1.0;7;кг;30
для измерений избыточного давления неагрессивных и агрессивных;1.0;7;МПа;±1,0
для измерений объемного расхода, объема, давления жидкости;1.0;6;м3/ч;±0,6
для измерения внутреннего сопротивления и постоянного напряжения;1.0;6;В;±0,05
для определения содержания органических и неорганических веществ;1.0;6;гС/с;3
для измерений среднего значения мощности непрерывных вч;1.0;5;°С;±1,0
для измерения амплитуды отраженного сигнала от поверхностных;1.0;5;рН;± 0,05
для измерений параметров телевизионных и радиовещательных сигналов;1.0;4;В;±1*10 -7
для измерений геомет- рических величин, используемых для;1.0;4;мкм;±3 5
для измерения расстояний, горизонтальных и вертикальных углов.;1.0;4;…°:;± 1,0
для контроля и передачи сигнала измери­ тельной;1.0;4;мВ/В;0,05
для не­ контактного измерения пространственного распределения температуры;1.0;4;°С;±4,0%
для проведения количественного элементного анализа химических элементов;1.0;4;ед;4
для статического измерения массы.;1.0;4;г;±0,5
для измерения объема топлива (бензин, керосин, дизельное;1.0;3;л/мин;±0,4
для определения размеров частиц при просеивании сухих;1.0;3;м3/ч;± 1,5
для преобразования с заданными метрологическими характеристиками аналоговых;1.0;3;0С;±0,25
для - измерений массовой концентрации или объемной;1.0;3;%;10
для измерения концентрации токсичных газов: оксида углерода,;1.0;3;20;±5
ны для измерения времени свертывания проб плазмы;1.0;3;с;± 3,0
для воспроизведения крутящего момента силы с установленной;1.0;3;Н•м;±3
для измерений и преобразования воздействующей на датчик;1.0;3;кН;0,05
для измерений: - интегральной концентрации горючих (метана;1.0;2;НКПР∙м;±10
для измерений твердости металлов и сплавов по;1.0;2;Н;±1,0
для измерения массовой концентрации оксида углерода (co),;1.0;2;%;±5
для измерения силы и напряжения переменного тока;1.0;2;А;±1,5
для измерений габаритных размеров объектов, проходящих по;1.0;2;мм;±20
для бесконтактного измерения частоты вращения коленчатого вала;1.0;2;мА;±0,05 мА)
для измере- ний координат и определения относительного;1.0;2;;
для определения координат (приращения координат) точек земной;1.0;2;мм;мм
для измерений линейных размеров, формы и взаимного;1.0;2;мкм;± 0,08
для измерения объемной доли кислорода (%) (о2),;1.0;1;;
для отбора и измерения объема проб воздушных;1.0;1;;
для передачи сигнала измерительной информации приборам измерения,;1.0;1;;
для измерения объема жидкости.;1.0;1;м3;±0,25
для изме- рений массовой доли влаги.;1.0;1;%;± 0,02
для генерирования легких аэроионов и измерений их;1.0;1;В;±0,5
для измерения параметров электрических цепей постоян- ного;1.0;1;;
для измерения скорости и объемного расхода воздушного;1.0;1;м/с;V
для измерения содержания общей серы, общего (ох);1.0;1;;
для измерения тангенса угла диэлектрических потерь tgs;1.0;1;пФ;C
для использования в качестве компаратора массы для;1.0;1;;
для выдачи сигналов о превышении установленных значений;1.0;1;%;± 5
для взвешивания жидкого металла в конверторном цехе;1.0;1;т;± 300
для определения массы капсулы с находящимися в;1.0;1;Бк;Бк
для поверки весов, весоизмерительных устройств и дозаторов.;1.0;1;ю;±200
для автоматизированных измерений массы и показателей качества;1.0;1;т/ч;±0,25
для измерений содержания загрязняющих веществ, измерений влажности;1.0;1;%;±8
для измерений величины неуравновешенной массы дисбаланса и;1.0;1;г:;±3
для измерений массового расхода (массы) бензина газового;1.0;1;т/ч;±0,25
для измерений давления воды, воздуха, масла, газа,;1.0;1;°С;± 0,5
