rubr0;rubr1;rubr_1_qty;rubr_1_import_share;rubr_0_qty;rubr_0_import_share
gps-приемники;gps-приемники спутниковые геодезические;197;1.0;332;1.0
gps-приемники;gps-приемники спутниковые геодезические одночастотные;133;1.0;332;1.0
gps-приемники;gps-приемники спутниковые одночастотные для;2;1.0;332;1.0
ph-метры;ph-метры;4183;0.42;6169;0.3
ph-метры;ph-метры промышленные со стерилизуемым;1;0.0;6169;0.3
ph-метры;ph-метры-милливольтметры;1073;0.07;6169;0.3
ph-метры;ph-метры-милливольтметры, px-метры;302;0.03;6169;0.3
ph-метры;ph-метры/иономеры;230;0.02;6169;0.3
ph-метры;ph-метры/кондуктометры лабораторные;4;1.0;6169;0.3
ph-метры;ph-метры/милливольтметры портативные;309;0.0;6169;0.3
ph-метры;преобразователи ph-метрические;67;0.0;6169;0.3
автоцистерны;автоцистерны;930;0.01;1914;0.2
автоцистерны;станции автозаправочные передвижные;984;0.37;1914;0.2
амперметры;автоцистерны и автотопливозаправщики;611;0.37;40826;0.02
амперметры;амперметры и вольтметры;21503;0.02;40826;0.02
амперметры;ваттметры и варметры;444;0.0;40826;0.02
амперметры;манометры и мановакуумметры показывающие;13911;0.0;40826;0.02
амперметры;микроамперметры и миллиамперметры;2460;0.0;40826;0.02
амперметры;прицепы и полуприцепы-цистерны;200;0.0;40826;0.02
амперметры;проволочки и ролики;1697;0.0;40826;0.02
анализаторы;анализаторы;21680;0.77;79384;0.44
анализаторы;анализаторы биохимические;1230;0.91;79384;0.44
анализаторы;анализаторы вибрации;373;0.1;79384;0.44
анализаторы;анализаторы влажности;1103;0.65;79384;0.44
анализаторы;анализаторы гематологические;5453;0.7;79384;0.44
анализаторы;анализаторы глюкозы и лактата;420;0.65;79384;0.44
анализаторы;анализаторы давления насыщенных паров;849;0.31;79384;0.44
анализаторы;анализаторы жидкости;7187;0.52;79384;0.44
анализаторы;анализаторы кабельные;395;0.43;79384;0.44
анализаторы;анализаторы качества электрической энергии;534;0.17;79384;0.44
анализаторы;анализаторы кислорода;629;0.49;79384;0.44
анализаторы;анализаторы молока;987;0.2;79384;0.44
анализаторы;анализаторы мочи;839;1.0;79384;0.44
